Product Name,Month,flipkart,amazon
Google Pixel 3a,January,14998,13999
Google Pixel 3a,February,14500,14744
Google Pixel 3a,March,13999,13999
Google Pixel 3a,April,14744,14500
Google Pixel 6A,January,26999,30990
Google Pixel 6A,February,43999,43999
Google Pixel 6A,March,43999,43999
Google Pixel 6A,April,30990,37115
Google Pixel 7 5G,January,48699,49999
Google Pixel 7 5G,February,43499,46999
Google Pixel 7 5G,March,46999,43999
Google Pixel 7 5G,April,49999,46999
Google Pixel 7 Pro 5G,January,84999,66999
Google Pixel 7 Pro 5G,February,59999,59999
Google Pixel 7 Pro 5G,March,65999,62999
Google Pixel 7 Pro 5G,April,68999,67999
Google Pixel 7A,January,38999,35999
Google Pixel 7A,February,40990,40990
Google Pixel 7A,March,37999,38999
Google Pixel 7A,April,39999,37999
Google Pixel 8 (8GB RAM + 256 GB),January,82999,82999
Google Pixel 8 (8GB RAM + 256 GB),February,82999,82999
Google Pixel 8 (8GB RAM + 256 GB),March,82999,82999
Google Pixel 8 (8GB RAM + 256 GB),April,76999,76999
Google Pixel 8 5G,January,75999,75999
Google Pixel 8 5G,February,75999,75999
Google Pixel 8 5G,March,75999,75999
Google Pixel 8 5G,April,69999,69999
Google Pixel 8 Pro,January,106999,92990
Google Pixel 8 Pro,February,89990,87490
Google Pixel 8 Pro,March,87490,89990
Google Pixel 8 Pro,April,106999,103999
Google Pixel 8 Pro (12GB RAM + 256 GB),January,113999,113999
Google Pixel 8 Pro (12GB RAM + 256 GB),February,113999,102990
Google Pixel 8 Pro (12GB RAM + 256 GB),March,113999,97999
Google Pixel 8 Pro (12GB RAM + 256 GB),April,113999,110999
